Article Title,Comment
 Article Title: مصطفى: النهضة البركانية كانت أفضل,القليل جدا من تركيز في شوط الثاني كان بإمكان نهضة بركان لا تضيع اللقب حتى جمهور زملكاوي إنصدم من تراجع مستوى زمالك وتألق نهضة بركان في شوط الثانيلكن البركانيين لم يكونوا في المستوى وضيع لقب بسهولة
 Article Title: مصطفى: النهضة البركانية كانت أفضل,النهضة البركانية كانت أفضل في لقاء الذهاب و خاصةً في الشوط الاول ، كانت ممكن ان تفوز بثلاثية أو رباعية لولا إهدار الفرص ، اما في لقاء الاياب النهضة كانت شبه غائبة وزاد كمل عليها المخرج و الحكم و غرفة الفار بعدم اعادة اللقطة اللتي كانت من الممكن ان تعطي ضربة جزاء.
 Article Title: مصطفى: النهضة البركانية كانت أفضل,ما نراه من هذا الفوز باللقب الا بالخبث الكروي وليس بجدارة واستحقاق كما تدعون مازلنا امام عقليات ماكرة تسرق الفوز وليست تستحقه
 Article Title: مصطفى: النهضة البركانية كانت أفضل,أفضل بدون ناجعة هجوم عقيم هجمات لا جدوى لها ولو لعبوا تسعين دقيقة أخرى ما كانوا لبسجلوا
 Article Title: مصطفى: النهضة البركانية كانت أفضل,الالقاب هي التي تبقى وليس طريقة اللعب
 Article Title: مصطفى: النهضة البركانية كانت أفضل,الأفضل هو الفريق لي تيسجل الأهداف و تيفوز بالبطولات.
 Article Title: مصطفى: النهضة البركانية كانت أفضل,لو مات لولو ، لولولوا ولهرولوا .لو سجلوا ثلاثية في بركان ، لفازوا بالكأس .لو كان المدرب ، غير التونسي الفاشل ، لما ضيعوا اللقب .لو لو لو ….
" Article Title: ""مبتورو الأطراف"" يتوهجون في مصر",الإعاقة ليست عيبا لأنها لا تعيق الطموح والعزيمة .المشكل في أولئك الذين يزعمون أنهم سليمون من الإعاقة البدنية وتطغى عليهم اعاقات كثيرة لا محدودة إعاقة الفساد إعاقة نهب المال العام وهم مسؤولون أمام الله إعاقة الظلم إعاقة الاستبداد إعاقة الاحتكار ولكنهم لا يشعرون.
" Article Title: ""مبتورو الأطراف"" يتوهجون في مصر",هادا خلق الله واروني من بعد خلقه مبارك اهم بهادا الفوز وتمنوا لهم المزيد في جميع المحافل وفي اي ميدان لقد شرفتمونا بلدكم واعطيتم اخين ما عندكم حفظكم الله من كل شر حسود ودود وبجب علبكم مساندتهم بالأخص المسؤولين عن الرياضة وفي مقدمته السيد المحترم فوزي لقجع لكي بكون لهم دور كبير في هاده المنافسات وشكرا للجميع
" Article Title: ""مبتورو الأطراف"" يتوهجون في مصر",ألف ألف ألف مبروك أتمنى لكم المزيد من تألق وتوهج في العالم
" Article Title: ""مبتورو الأطراف"" يتوهجون في مصر",كل التقدير والتشجيع والاحترام لمنتخبنا الوطني المغربي لمبتوري الأطراف لكرة القدم.أنتم فعلا أبطال.وفقكم الله.
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,هذا حال الاتحادات الإفريقية سواء رياضية واقتصادية وثقافية وسياسية الكل يغرد خارج السرب
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,ذاقوا من الكأس نفسها…البكاء وراء الميت خسارة
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,ورغم كل هذا مشجعوا نهضة بركان أو المغاربة عموما لم يتكلموا عن الكولسة والمحسسة والهلوسة كما يدعي جار السوء، تقبلنا الهزيمة بكل روح رياضية، شكرا هيسبريس
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,طريقة تنظيم نهائي من قيمة كأس الاتحاد ، بالإضافة إلى الإخراج التلفزي الذي كان مريبا يجعل كرة القدم الأفريقية بعيدة كل البعد عن الاحتراف .ملاحظة : يجب إلغاء قاعدة الهدف خارج الميدان كما فعل الاتحاد الأوروبي .
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,انتهت المباراة. و الاستفادة من الأخطاء.
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,همجية المصريين معروفة من زمان، لمّا يصلوا للنهائي يريدون الفوز به بكل الطرق البلطجية من اللاعبين مخرجين منظمين حتى يقولون عليهم ابطال، لو كانت الفرق المصرية و المنتخب المصرية في اوروبا لن يفوزوا و لا بلقب كل مبارياتهم سوف يلعبون منقوصي العدد، ناهيك عن الغرامات و الايقافات
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,الزمالك تتوج باللقب و الفريق البرتقالي يتوج بادنة الكاف للزمالك ،نقولها بصراحة بركان لم تكن في المستوى المطلوب للفوز باللقب لعبت بتحفظ كبير وافتقدت للشراسة رغم أنها لم يكن لديها ماتخسره أعتقد أن الفلسفة الكروية في البطولة الوطنية التي تعتمد على تسجيل هدف و الركون للدفاع يجب اعادة النظر فيها
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,الحمدالله الدي جاء بالحق يعني الكأس مغشوشة وفيها الم وصباح وشتم وحسن الاستقبال غير منظم وحتى استقبال البعث الرياضية البركاني يأسرون من هادت الاستقبال حرام هادا الشيء من مسؤولين الزمالك عيب على فريق عريق وفريق محنا الصف التاني عشر والنهضة البركانية الصف الثالث فرق كبير بننا وبينهم أقول الله ياخد فيكم الحق وحتى الحكم ضيع لينا ضربة جزاء واضحة كالنهار
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,الكاف تدين الأحداث اللارياضية على أرضية الزمالك هههههههه واعرة هادي وانتما نضوا من نعاس راه كلشي ولا باين وفي واضح النهار العز البطولات العالمية أفريقيا مزالت تعيش على التاريخ وتحياتي لكم جميعا
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,نقولها بكل روح رياضية أن الفريق المصري لم يصرق المقابلة و شاهدنا فريق واحد في أرضية الميدان أما بالنسبة التصرفات الغير الأخلاقية التي شاهدناها في الميدان و الغير رياضية أضن أن الفريق البركانيتسبب في الفوضة و أتمنى حض موفق لفريق بركان و يكفيه فخرا أنه لعب بالخريطة كاملة للمغرب
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,أغلب بلاغات الكاف تندد بالفوضى و تصدر عقوبات و توبخ لاعبين و فرق و جامعات، و… من الأعمال الغير أخلاقية بالنسبة للكرة. و قليلا مانسمع مثل هذه البلاغات في فيدراليات القارات الأخرى، هل هذا يعني أن أمور إفريقيا كلها همجية في كل الميادين؟ أظن ذلك و ذلك يبرر مدى استباحة الدول الكبرى لمجال قارتنا.
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,يجب النظر في تغيير الطريقة المتبعة في النهائيات مثل هذه. الافضل ان تقام مقابلة النهائي في مقابلة واحدة وببلدٱخر محايد لان الكرة الافريقية لازالت تعاني من التخلف لذلك تراهم ينتقدون السيد فوزي لقجع الذي يحارب من اجل تنقية الكاف من المخلوضين وقطع الطريق على اللذين يحبون الفوضى لاجل الفوز بشتى الطرق.
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,والجارة الشرقية لازالت تنتظر قرار الطاس وإلغاء كل النتائج و البداية من الصفر .. كما جاء على لسان الخبراء نسبة إلى بوخروبة…
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,المغرب اصبح كبير جدا على افريقيا ، اكيد سوف نجد الكثير من الصعوبات مع بعض البلدان التى لا تصبو الى التطور. يجب على المغرب ان يجيد التعامل مع هذه البلدان و منها من هي بالجوار
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,انتصار بطعم التعادل يجب اعادة النضر في القوانين متل اوروبا و اعتبار الاهداف نفسها حتى خارج الديار
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,پإختصار شديد كل ما بني على باطل فهو باطل و المصريين يتقنون الخبث الكروي و يتفننون في البكاء البلاغات زيد عليهم التونسيين و الجزائريين و للأسف عداو الليبيين المهم دارو الشوهة و الشوهة الكبرى هي يوم السبت غادي يتلاقاو عمالقة ما سبق ذكره في البكاء و النواح و الخبث الكروي الأهلي و الترجي لبلوس مع لبلوس.
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,الكراغلة هما لي غايربحوا الكأس إلى نجحت ليهم القضية لي رفعوها لطاس، أو غاتعاود الماتش بين الكرغولي الحمار، اغيور ولد اغيور مع الزمالك ،في أكتوبر 2025 ،
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,هاذا ما قلته من قبل في النهائي الاول في بركان قلت بان الهدف الذي سجله الزمالك في بركان وقلص به النتيجة حتى وان انهزم بهدفين لواحد لا بعني ان بركان قد تجاوز وانتصر على الزمالك لان الهدف في بركان هو من أعطى القوة للزمالك وفي النهائي الأخير في مصر وعلى ميدان الزمالك لا يمكن لبركان ان تخرج منتصرة هناك كما رأينا سجلوا الهدف مبكرا ودافعوا بعقلية وقوة ودوحوا النتيجة الى الفوز وانتهى الكلام سواء كانت هناك ضربة جزاء واضحة لبركان ام لا لا يهم ولم يتكلم عنها بعد ذالك احدا
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,اصبحنا نبكوا و نشتكوا مثلنا مثل الهوكيينلا ادري لماذا فزنا فالأخير.الجزائر و مصر و حتى تونس يضحكون علينا
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,مافهمتش علاش قانون احتساب نقطتان للهدف المسجل في ملعب الخصم لازال ساريا بإفريقيا، كنت أضن البطولة الأوروبية إعتمدته في مقابلة برشولونة ضد باريس سان جيرمان لأني لم أشاهد المبارة الأخيرة فأخبرني صديق بأنهم لم يعودوا يعتمدوه وفعلا ذلك ماحدث في مباراة ريال مدريد ولم يحتسبون الهدف بنقطتان. ولهذا يجب على الكاف بدورها أن تضع حدا لهذه الخدعة أو الغش التهديفي حيث فريق يسجل هدفان بعد معاناة شاقه ويباغثه الخصم بهدف ثم تحتسب له نقطتان ويصبح متعادلا من دون عناء، على الأقل إن لم تسطيع الكاف إلغاء هذا القانون المجحف، عليها أن تحدد ملعبا محايدا لإجراء النهائي بمباراة واحدة من دون إياب ولا ذهاب ومن يسجل يحتسب له هدف وفي نفس الوقت سيتجنبون أي محاباة في الإخراج والتحكيم وشغب الجماهير والإعتداء على الأطقم الرياضية للخصوم.
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,اودي خاص المبارة النهائية تلعب في ملعب محايد كما هو جاري به العمل في اوروبا و انتهى الامر..
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,افتخر لكوني انتمي الى هدا الوطن ،الله الوطن الملك .شكراً هسبريس.
 Article Title: “الكاف” تدين أحداث لقاء الزمالك وبركان,خوفي على بلادنا المغرب من بلطجة بعض العرب والافارفة عند تنظيم كأس العالم وخصوصا الجيران
 Article Title: إحصائيات اللاعب حريمات تثير الانتباه,حريمات مكانه بالمنتخب بلا عاطفة فهو أحسن من بعض اللاعبين يجب أن يأخذ الفرصة على هذا المجهود
 Article Title: إحصائيات اللاعب حريمات تثير الانتباه,عليه ان يلتحق بالكعبي فاليونان ليحقق العالميةالمواهب المغربية تصنع المجد في الضروف النفسية الجيدة
 Article Title: إحصائيات اللاعب حريمات تثير الانتباه,ننتظر تألقه رفقة فريقه وباقي الفرق الوطنية بالمنافسة الافريقة الموسم المقبل إن شاء الله تعالى باعتبارها المحك الحقيقي.
 Article Title: إحصائيات اللاعب حريمات تثير الانتباه,صراحة الحقيقة خاصها تݣتل حريمات لاعب كبير… في العمر
 Article Title: إحصائيات اللاعب حريمات تثير الانتباه,الصراحة بلاصتو مضمونة مع المنتخب الأولمبي! آلو السكيتيوي
 Article Title: إحصائيات اللاعب حريمات تثير الانتباه,البطولة الوطنية مثلها مثل دوري الاحياء ودوريات رمضان …..
 Article Title: إحصائيات اللاعب حريمات تثير الانتباه,حريمات له مشكل شخصي وخلاف مع وليد منذ أن كان هذا الأخير مدربا في البطولة الوطنية. لذلك، لن يلعب أبدا مع المنتخب الوطني ما دام وليد هو الناخب الوطني.
" Article Title: غوميز: الزمالك يستحق ""كأس الكاف""",من شاهد المباراة من الأول و الطريقة التي لعب بها النهضة البركانية يمكن ان يطرح كثير من الاسئلة وان المباراة كانت محسومة لفريق الزمالك أي أعطيني نعطيك !زد عن ذلك الحكم و تقنية الفارشي مفهوم ، كيف تريد لفريق يلعب فوق ارضه بحضور جمهور عريض يخسر مثل هذه المقابلة و لو انه سيخسر لكن الكفة تغلب لصالحهالمهم بدون الدخول في الحيثيات المقابلة كانت محسومة …
" Article Title: غوميز: الزمالك يستحق ""كأس الكاف""",الزمالك تستحق الكأس بالتحايل وضياع الوقت والكدب هادي ليست كرة القدم هادي سينما ومهزلة لا من الاعبين او حتى الحارس الزمالك الخطأ في النهضة البركانية التي ضيعت الانتصار في بركان انا الوم الحارس والدفاع ذهابا و ايابا يلعبون دون تخطيط والمدرب ليس له خطة تساعد بها اللاعبين
" Article Title: غوميز: الزمالك يستحق ""كأس الكاف""",نهضة بركان لم تكن في المستوى المطلوب تنقصها النجاعة والقتالية والتركيز فلاداعي للمدرب ان بعلق فشله وفشل اللاعبين في تحقيق الفوز على الحكم. لو سجلوا هدفا حقيقيا فهل سيجرء الحكم على إلغائه طبعا لا. لذا لا يجب النظر الى الوراء بل الى المستقبل.
" Article Title: غوميز: الزمالك يستحق ""كأس الكاف""",الزمالك رغم انه ليس بذلك الفريق القوي يستحق اللقب لأن فريق بركان ضعيف جدا ليس هناك فرص لالتسجيل ولا حماس ولا شيء ولو تلعب المبارة 90دقيقة أخرى ما كان ليسجل بركان انخفض مستوى بركان كثيرا مقارنة بالمواسم الماضية
" Article Title: غوميز: الزمالك يستحق ""كأس الكاف""",الزمالك لايستحق الكأس انه لم يلعب كرة القدم مارسى الضغط على اللاعبين من ناحية تضييع الوقت وتشتيت الكرات يمينا وشمالا وكان ضياع الوقت لان في صالحهم المصريون معروفون بالخشونة وخاصتا في ميدانهم والسيد المدرب النهضة البركانية يبتسم ألا ما كان من قبل هناك ويعرف الكرة المصرية
" Article Title: غوميز: الزمالك يستحق ""كأس الكاف""",اودي بصحتكم، التحكيم اخر حاجة نقدر ناقشها.إلى الملتقى ..
" Article Title: غوميز: الزمالك يستحق ""كأس الكاف""",لاتخافون راه ممكن يتعاود النهائي على حسب أخبار شي ناس على اليمين
" Article Title: غوميز: الزمالك يستحق ""كأس الكاف""",يجب دائما إنهاء المقابلة في الديار وتوقع كل شيء في الذهاب حيث أن الأندية المغربية دائما عبر التاريخ تعاني من التحيز التحكيمي في النهائيات
" Article Title: غوميز: الزمالك يستحق ""كأس الكاف""",الزمالك في الشوط ثاني كان ضعيف جدا ولولا تركيز لاعبين بركان كنا سنفوز عليهم بي 1-3لكن للأسف لاعبين بركان لم يكونوا في المستوى
" Article Title: غوميز: الزمالك يستحق ""كأس الكاف""",الواجب على مدرب الزمالك أن يشكر اولا حكم المقابلة ومخرج المقابلة التلفزيوني لانهم هم من منحوا الفوز للزمالك لان الحكم رءى جيدا ضربة جزاء وتغاضى عنها ومخرج المقابلة لم يقدم اللقطات للفار ولا للمشاهدين ولم يعيد اللقطة التي توضح ضربة جزاء واضحة وكذلك لم يعيد الاخطاء التي ترتكب في حق لاعبي بركان ويعيد فقط القطات التي ترتكب على لاعبي الزمالك وهذه ليست احترافية الاخراج وانما عشواءيته كما ان الحكم كان منحازا للزمالك وخاصة في ارتكاب الاخطاء وهناك ورقة حمراء لم بعطيها للاعب الزمالك لما عتر تحدهم على ساق لاعب بركان.
" Article Title: غوميز: الزمالك يستحق ""كأس الكاف""",السلام عليكم لم ارغب ان اعلق على المباراة وكواليس ها بصراحة نحن المغاربة يجب علينا تغيير كل تعامل مع هؤلاء الفرق من مصر والجزاءر وتونس وكذلك ليبيا لانهم وبكل صراحة لا يستحقون تقديم قارورة ماء لانهم يعاملون معاملة جد سيءة جد منحطة هذا من جهة منجهة اخرى امس المصريين عاملوا بركان بكل وقاحة وحرمان الفريق من ضربة جزاء بتواطؤ من المخرج وغرفة الفار خلاصة القولة الكاف لازال الفساد يعشش داخلها هذا لا ينسينا ضعف البطولة المغربية
 Article Title: دياز يواصل  صناعة الأهداف مع الريال,دياز إذا أراد أن يلعب أساسيا و يطور من مستواه فعليه بفريق ارسنال مكانه مضمون هناك و حتى طريقة لعبه الهجومية توافق فلسفة ارتيتا و سيساعد الجانرز كثيرا العام المقبل لمحاولة إحراز البريميير ليغ .. إذا بقي في الريال فلن يلعب أساسيا العام المقبل خصوصا ان تشكيلة الريال تعج بالمهاجمين من الافضل له ان يفكر في الرجوع للدوري الانجليزي رغم صعوبته لكن سيتطور كثيرا هناك !
 Article Title: دياز يواصل  صناعة الأهداف مع الريال,انه لاعب مهاري من طينة نادرة في عالم كرة القدم يجب أن تعطاه قيمته الحقيقية بين صفوف تشكيل المنتخب باسناد له دور محوري في الوسط و الهجوم
 Article Title: دياز يواصل  صناعة الأهداف مع الريال,صحيح يجب عليه ان يجد فريق اخر ليكون لاعب أساسيمع ان مكانه موجود في ريال مدريد لكن صعب.
 Article Title: وكالات الأسفار تضع آخر اللمسات على استعدادات موسم الحج في المغرب,شحال وصل ثمن الحج هاد العام 6 ولا 7 المليونحنا أغلى دولة إسلامية من حيث اثمنة أداء مناسك الحج ماعرفتش علاش ….نكون لاباس علينا مثلا
" Article Title: ""فوربس"" تختار برقاد ضمن القادة الأكثر تأثيرا في صناعة السياحة",أمنيتي هي وجود مراحيض عمومية لمدة 24 ساعة في الشواطئ
" Article Title: ""فوربس"" تختار برقاد ضمن القادة الأكثر تأثيرا في صناعة السياحة",واين تجد الجارة الشرقية من التصنيف في شمال افريقيا في مجال السياحة وما هو سبب تاخرها في هادا التصنيفات الدولية من السياحة مجرد سؤال
 Article Title: السكوري ينوه بأداء التكوين المهني,التكوين المهني كاين لكن التشغيل مكاينش ، كائن باك صاحبي وصاني عليك بزاف وهذه هي مشكلتنا في هذه البلاد العزيزة علينا ..
" Article Title: ""رايان إير"" تؤكد تحقيق أرباح قياسية",المعاملة و الأثمنة المناسبة و المعقول و عدم استحمار الزبون هو الاساس .بالصحة و العافية
" Article Title: ""رايان إير"" تؤكد تحقيق أرباح قياسية",كان من الاجدر منح هذه الشركة ترخيصا وخطوطا جوية في اتجاه الاقاليم الجنوبية في الصحراء المغربية حتى يتمكن اهل الشمال واهل الوسط المملكة من زيارة مدن هذه الاقاليم العزيزة علينا
" Article Title: ""رايان إير"" تؤكد تحقيق أرباح قياسية",فهم تصطى كيف يعقل التذكرة بخمسين يورو للمغرب و يحققون الأرباح مقابل تذكرة باضعاف مضاعفة عند بني جلدتنا لارام التي تطلب المساعدة من الدولة لتجنب الإفلاس
" Article Title: ""رايان إير"" تؤكد تحقيق أرباح قياسية",وفي نفس السياق شركة لارام المغربية التي تبيع تذاكرها بعشرة أضعاف او اكثر، على سبيل المثال تذكرة جنيف الدار البيضاء ب 700 فرنك سويسري او ايضا تذكرة نواكشوط الدار البيضاء ب 6000 درهم، مع ذلك لارام ليس لديها ارباح.
" Article Title: ""رايان إير"" تؤكد تحقيق أرباح قياسية",الفرق شاسع بين ريان اير ولارام في الاثمنة لأن اثمنة تذاكر لارام ليست في المستطاع حتى للغني فما بالك بالفقير اما ريان اير أثمن في المستوى بل حتى بعض الرحلات رخيصة جدا جدا بثمن 300 درهم ذهاب واياب .عندما يكون العامل نزيه تكون حساباته مضبوطة ولا تحتاج الشركة لمساعدة الدولة ….!
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",الله اعز ايام زمان فاش كان حزب الاستقلال آنذاك حزبا له مبادء في عهد الملك الحسن الثاني رحمه الله،كانت المعيشة و الحياة لها قيمة و معنى وكانت المواد الاساسية متوفرة،اما الآن جاء اخناتوش كلا البلاد هو و تريكتوا او زايدينها بانهم حكومة تسعى لارضاء المواطن،هههه و لكن كما يقال “اذا اولية الامور لغير اهلها فانتظر الساعة”
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",الله يرحم الوالدين لي فهم شي حاجة في هاد الاجتماع عوض ما يتكلمو على الزيادة في البوطة ، تكلمو على توفير الغاز المواطنين عطاكم الله باش ضحكو على شعب
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",البوطة الكبيرة أصبحت ب 53 درهم مكان 40 درهم يعني تزادت 13 درهم
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",خرجوا على البلاد مشات هادا هو قتل المواطن ببطء او بنفس باردة خلاصة
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",يجب أن يتحرك الشعب لوقف هذا الهجوم على قدرته الشرائية المتدهورة أصلا. هل هذه هي الدولة الاجتماعية التي يتبجحون بها.
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",كفى من الضحك على الدقون.حسبنا الله ونعم الوكيل فيكم.و عند ربكم تختصمون. و كفى بالله العلي العظيم شهيدا.
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",سمعا و طاعة سيدنا صندوق النقذ الدولي. نحن ملتزمون معك و مستعدون لفعل أي شيء من أجل إرضائك و تنزيل تعليماتك بما فيها إفقار ما تبقى من الطبقة المتوسطة.نحن مستعدون للقضاء على دخلهم و القطاعات الاجتماعية و إثقال كاهلهم بالضرائب و بإغراقهم في الزيادات في الأسعار. فلتنم مرتاح البال سيدي صندوق النقذ الدولي.اللهم إن هذا لمنكر كبير.
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",عندما كانت هناك أحزاب ونقابات وطنية لم تكن الحكومة تجرىء من الاقتراب من القدرة الشرائية للمواطن المغربي أما الآن فالساحة خالية لهم ليقوموا بما يحلوا لهم خدمة لمصالح شخصية وهذا يعني أن الشعب المغربي أصبح يتيما لا أحد الآن يدافع عنه أخشى على وطني ومستقبله من هؤلاء الموجودون حاليا
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",أتمنى أن تكون الزيادة في أسعار غاز البوتان ب 10 دراهم ، سببا رئيسيا في توقف الطبقات الفقيرة والمتوسطة عن الإنجاب وتفريخ الأطفال لأن سبب أغلب المشاكل التي نعيشها ، من جريمة وبطالة و فساد أخلاقي هو العدد الهائل من الولادات في كل دقيقة .
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",اللهم إن هذا لشيء كله مراوغة ،الذي يهلكنا هو غلاء المعيشة وارتفاع الأسعار، أما المواد فهي متوفرة على كل حال والمواطن احدب ظهره واثقل الغلا كهله، فهل من منقذ….
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",بما ان الحكومة رفعت سعر البوطا بنسبة 20٪ سترتفع اسعار الخضر و الفواكه بإثرها بنسبة 20٪ لأن الفلاحة اصبحت تعتمد على البوطا في الآبارتستاهلوا ما كفس
 Article Title: النقل الجوي يزيد بـ30% في المملكة,لكن رغم ذالك تبقى الاسعار جد مرتفعة بين أمريكا الشمالية و المغرب!اغلى من امريكا لأماكن ابعد من المغرب كتركيامثلا.
 Article Title: النقل الجوي يزيد بـ30% في المملكة,يعني في السنة عدد المسافرين في مجموع مطارات المغرب 30 مليون. لما أرى مطار واحد في دول الغرب يصل عدد المسافرين عبره ضعف أو أكثر من 30 مليون. و أفعل مقارنة بين تكلفة هدا المطار بالغرب و عدد الموظفين و العمال به مع المبلغ الإجمالي لتكلفة جميع المطارات بالمغرب و عدد الموظفين و العمال بهم و النتيجة أن المردودية بمطارات المغرب صفر
 Article Title: صندوق الإيداع والتدبير يسند الاستثمار,استثمار للمنديال ولا زيادة للمتقاعدين مع ارتفاع الأسعار.
 Article Title: صندوق الإيداع والتدبير يسند الاستثمار,كل التمنيات بالتوفيق لإنجاح هذه المبادرة التي ستوفر العديد من مناصب الشغل للشباب المغربي
 Article Title: صندوق الإيداع والتدبير يسند الاستثمار,نتمنى لهاته الشراكة الإستراتيجية التوفيق والنجاح فإن CDG الدراع المالي للدولة و AMDIE الدراع الترويجي للدولة ان تعود بالنفع على الاقتصاد الوطني لخلق الثروة و مناصب الشغل لشبابنا العاطل دوي الكفاءات العالية، المغرب يسير في الإتجاه الصحيح و خاصة في مجال الاستثمار فهذا يثلج الصدور ويعطي الأمل الكبير في المستقبل ويعيد ثقة المستثمرين الأجانب في مؤسسات الدولة فهذا ما يوصي به دوماً صاحب الجلالة حفظه الله،
 Article Title: القضاء ينتصر لزبائن بشأن إغلاق حسابات بنكية واستخلاص مبالغ غير مستحقة,هناك بنوك تسرق من أموال الزبناء بحق وبدون حق.اقتطاعات غير مبررة. اختلاسات .
 Article Title: القضاء ينتصر لزبائن بشأن إغلاق حسابات بنكية واستخلاص مبالغ غير مستحقة,للأسف الشديد لم أكن أعرف ماذا أفعل لأن مؤسسة بنكية كنت أتعامل معهم على أساس نقود الضمان الإجتماعي نصبو علي بتفعيل حسابين لمدة ثلاث أو أربع سنوات وفي الأخير أخذو مني ما تبقا من حسابي وفرضو علي اداء رمزي عبارة عن خمسة دراهم زائد ما أخذو مني بدون وجه حق في مدينة مكناس وللإشارة هذه الشركة الكل يشتكي من تعامل موضفيها وكذلك النصب على من يكون فريسة سهلة لهم ربي ياخذ فيهم الحق وبالمقابل أي واحد أعرفه أحذره من التعامل معهم .
 Article Title: القضاء ينتصر لزبائن بشأن إغلاق حسابات بنكية واستخلاص مبالغ غير مستحقة,هادشي سميتو السرقة بالعيلاني و الواعرة كيبقاو ايبيعو ليك اي حاجا داروها جديدة فالبانكا بطاقات تامينات ويقتاطعو ليك و خا لحساب عندك فيه صفر درهم حتا كيوليو ايسالوك هوما ألف درهم و يحسبو عليق الفوائد التاخير و ها هي ولات خمسة آلاف درهم و فالاخير يبقاو ايهددوك بالمحامي ديالهم
 Article Title: القضاء ينتصر لزبائن بشأن إغلاق حسابات بنكية واستخلاص مبالغ غير مستحقة,لصوص بكل ما للكلمة من معنى.. نقطة الى السطر
 Article Title: القضاء ينتصر لزبائن بشأن إغلاق حسابات بنكية واستخلاص مبالغ غير مستحقة,ومع ذالك يهرعون بالليل والنهار لسحب الكاش حتى تصبح عبدا للبنك يتحكم في امولك وتدفع ثمن الخدمة بالقوة على كل عملية بنكية وهم كن يحدد الثمن ويتحكم في رزقك ولا احد يستطيع الوقوف في وجههم .
